hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
24,7,69,308,10,9,10,9,10,12,13,9,10,10,10,9,8,11,10,10,9,10,11,11,13,10,9,12,11,10,12,11,10,9
24,7,70,501,10,11,11,11,10,13,19,16,13,10,10,13,13,14,15,15,16,19,17,16,18,19,20,21,23,29,28,25,25,21
25,7,73,318,11,15,13,12,9,13,11,12,8,11,8,11,9,11,12,9,12,13,10,13,10,10,8,9,10,11,9,11,8,9
24,7,73,318,11,15,13,12,9,13,11,12,8,11,8,11,9,11,12,9,12,13,10,13,10,10,8,9,10,11,9,11,8,9
25,7,72,894,51,72,54,46,40,45,54,48,37,29,28,29,28,24,26,25,21,22,22,21,21,17,17,20,16,17,17,15,18,14
24,7,72,894,51,72,54,46,40,45,54,48,37,29,28,29,28,24,26,25,21,22,22,21,21,17,17,20,16,17,17,15,18,14
24,7,71,1313,33,44,39,37,37,49,74,66,48,41,39,42,44,44,44,45,48,51,51,45,42,42,40,38,41,43,44,40,33,29
25,7,71,1313,33,44,39,37,37,49,74,66,48,41,39,42,44,44,44,45,48,51,51,45,42,42,40,38,41,43,44,40,33,29
27,7,72,428,11,12,10,12,20,21,19,16,13,16,15,14,14,14,14,14,14,18,17,17,18,15,11,14,10,13,11,12,13,10
26,7,72,428,11,12,10,12,20,21,19,16,13,16,15,14,14,14,14,14,14,18,17,17,18,15,11,14,10,13,11,12,13,10
27,7,75,849,13,22,20,26,44,54,86,93,67,45,34,28,26,23,20,21,22,21,19,18,18,16,14,15,16,16,13,14,13,12
27,7,74,6671,25,51,64,197,492,574,875,919,630,424,313,250,212,186,163,148,133,121,113,104,94,88,81,75,68,62,57,56,50,46
27,7,73,4101,12,17,26,124,351,396,434,424,304,225,187,162,142,135,121,107,109,106,97,92,83,71,61,55,50,47,44,42,39,38
26,7,73,4101,12,17,26,124,351,396,434,424,304,225,187,162,142,135,121,107,109,106,97,92,83,71,61,55,50,47,44,42,39,38
31,7,80,299,10,10,10,11,9,10,8,9,8,12,12,11,12,8,10,10,11,9,11,10,13,11,9,9,9,8,9,10,8,12
31,7,79,612,12,28,47,52,41,37,32,27,23,21,22,21,19,19,14,16,16,16,15,12,12,14,13,14,10,13,11,12,10,13
31,7,78,1306,12,22,43,55,59,68,73,72,65,63,62,85,86,70,57,51,45,39,34,31,28,26,22,22,22,19,21,17,19,18
31,7,77,824,9,10,13,14,12,16,18,18,19,24,28,55,63,55,53,51,54,49,38,31,27,20,20,21,20,19,19,16,16,16
31,7,76,314,9,9,9,9,11,9,10,9,10,10,9,11,10,10,9,11,13,14,10,12,11,10,13,10,11,12,12,12,9,10
33,7,78,328,11,11,11,10,11,11,10,10,9,10,11,9,10,12,10,8,11,11,13,15,15,13,10,12,10,10,12,10,10,12
33,7,81,410,20,25,24,21,20,16,16,15,14,13,15,12,12,13,9,12,9,12,12,14,11,12,11,11,9,11,10,10,10,11
33,7,80,954,35,64,54,48,55,62,52,43,40,33,30,28,25,28,32,28,24,26,28,26,25,26,22,18,19,19,17,19,14,14
33,7,79,686,13,14,12,13,15,18,16,14,14,15,15,16,17,21,22,25,22,24,37,43,52,51,42,32,26,24,19,18,19,17
61,0,84,304,9,8,9,11,10,12,8,10,10,10,11,11,9,10,9,10,11,12,10,10,11,11,9,9,10,11,10,12,11,10
61,1,87,313,10,10,8,9,8,12,10,9,9,11,12,12,9,10,9,12,13,9,8,10,11,10,7,10,8,10,10,15,16,16
61,0,89,321,12,12,12,12,12,12,10,13,11,12,11,9,13,9,13,10,10,9,9,10,11,9,12,10,9,10,10,10,10,9
61,0,89,321,12,12,12,12,12,12,10,13,11,12,11,9,13,9,13,10,10,9,9,10,11,9,12,10,9,10,10,10,10,9
61,1,86,447,10,10,10,8,7,10,11,11,11,10,10,11,12,9,10,9,10,9,10,10,11,9,11,11,11,10,11,32,64,79
61,1,85,331,11,11,9,11,8,11,8,11,11,9,10,12,12,10,11,11,10,10,9,12,10,9,9,9,10,9,10,12,19,27
61,1,84,320,9,12,12,12,11,9,10,12,12,10,11,13,9,10,9,10,12,9,11,11,9,12,10,9,11,11,11,11,11,11
61,0,88,1071,56,132,144,108,68,52,43,38,32,30,27,26,24,23,23,20,20,19,17,19,18,15,17,14,17,14,14,16,11,14
61,0,87,2618,98,248,295,217,144,126,124,114,104,87,72,62,60,70,89,94,74,57,50,48,44,46,48,45,40,37,37,32,27,29
61,0,86,2193,18,32,44,35,27,31,38,47,45,41,33,31,37,64,123,145,104,74,63,64,77,116,147,133,96,102,141,128,89,68
61,0,85,663,10,13,11,9,12,10,10,7,7,11,11,11,10,11,22,22,17,15,17,16,21,28,40,39,31,42,67,63,45,35
