hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
97,9,142,582,20,62,61,46,34,24,20,18,15,15,17,16,16,16,13,15,15,14,11,14,12,12,14,13,12,12,12,9,13,11
97,9,141,391,13,24,28,22,17,15,15,14,11,11,13,12,14,12,12,11,12,13,12,10,11,10,9,11,9,11,11,9,10,9
103,12,78,293,9,11,11,10,9,9,10,9,11,8,10,10,9,10,12,10,9,9,11,10,10,9,11,9,11,9,8,8,9,12
103,11,87,307,11,9,11,11,12,8,10,11,9,9,11,13,12,11,9,11,11,9,10,11,10,10,10,10,11,9,10,10,9,9
103,11,86,332,10,9,13,9,9,10,11,11,10,10,11,11,11,11,11,10,9,11,10,10,10,10,9,10,9,8,11,15,18,25
103,11,85,506,10,11,10,10,10,10,9,9,11,9,10,10,11,10,10,11,10,11,10,11,14,13,13,15,15,27,38,43,53,72
103,11,80,317,8,11,12,13,10,11,9,12,10,11,10,12,11,11,11,10,12,8,10,11,10,10,11,11,10,9,13,10,10,10
103,12,81,399,16,28,27,21,19,15,15,12,14,13,12,9,11,14,11,10,11,12,12,12,8,10,13,8,11,12,12,12,10,9
103,12,80,715,37,91,82,58,41,28,23,22,19,19,19,17,18,16,17,16,19,15,15,13,14,12,14,16,14,11,12,13,13,11
103,12,79,432,16,32,36,28,19,17,13,16,13,14,14,13,14,14,11,10,11,12,13,11,11,10,11,13,9,12,11,8,10,10
103,11,84,585,9,11,12,8,10,11,11,14,9,11,9,10,10,10,14,19,16,16,20,28,42,45,35,32,32,33,32,27,25,24
103,11,83,673,8,10,8,13,11,10,12,11,13,15,15,17,24,27,46,60,56,43,35,31,31,30,24,22,20,18,16,15,16,16
103,11,82,832,9,10,11,16,21,26,69,73,59,57,48,37,37,34,33,32,30,22,21,21,19,18,19,18,15,18,15,16,14,14
103,11,81,600,9,12,20,34,37,34,46,48,37,28,23,20,19,17,19,15,16,16,14,14,14,15,13,13,12,13,10,11,10,11
