column;detector;hcid;padrow;position;uncal_slope;slope;uncal_dy;uncal_y;dy;x;y;z
3;52;104;12;1712;-0.063;-0.029778;-0.922761;59.0081;-0.448038;350.375;59.0082;-168
1;53;106;13;232;-0.045;-0.0134891;-0.685305;29.6998;-0.210925;362.975;29.6998;-178
2;79;158;11;747;-0.012;0.0239727;-0.154812;54.1406;0.319743;312.575;54.1406;-143.25
3;80;160;11;1424;-0.006;0.0291302;-0.080898;55.401;0.407578;325.175;55.401;-148.5
3;82;164;11;1613;-0.001;0.0318802;-0.014647;57.7706;0.482566;350.375;57.7706;-159
3;82;164;12;1650;-0.023;0.00988021;-0.336881;58.2331;0.149555;350.375;58.2331;-168
1;85;171;14;812;0.015;0.0501576;0.193515;108.953;0.667808;312.575;108.953;-289.75
2;85;171;14;1452;0.038;0.0731576;0.490238;109.353;0.974034;312.575;109.353;-289.75
2;87;175;14;2015;0.038;0.070555;0.53447;116.383;1.02568;337.775;116.383;-317.25
2;87;175;14;2017;0.04;0.072555;0.5626;116.408;1.05475;337.775;116.408;-317.25
2;89;179;15;562;0.055;0.0854254;0.837595;123.825;1.34356;362.975;123.825;-342.75
2;89;179;15;568;0.062;0.0924254;0.944198;123.9;1.45365;362.975;123.9;-342.75
3;137;274;6;1644;-0.009;0.0230194;-0.137061;57.7498;0.36206;362.975;57.7499;-4.5
1;137;275;4;419;-0.056;-0.0239806;-0.852824;104.037;-0.377177;362.975;104.037;13.5
0;198;397;2;315;0.004;0.0431623;0.049276;85.1437;0.544664;299.975;85.1437;-75.75
0;198;397;2;330;0.015;0.0541623;0.184785;85.3312;0.683472;299.975;85.3312;-75.75
0;199;399;3;521;0.02;0.0569026;0.25802;87.3156;0.757113;312.575;87.3156;-83.25
0;200;401;3;694;0.02;0.0561507;0.26966;89.876;0.775297;325.175;89.876;-84.5
0;200;401;3;699;0.024;0.0601507;0.323592;89.9385;0.830526;325.175;89.9385;-84.5
0;200;401;4;525;0.048;0.0841507;0.647184;87.7635;1.1619;325.175;87.7635;-92.5
0;200;401;4;535;0.056;0.0921507;0.755048;87.8885;1.27236;325.175;87.8885;-92.5
1;201;403;3;1567;0.045;0.0791112;0.632925;92.7828;1.14292;337.775;92.7828;-85.75
1;201;403;3;1563;0.043;0.0771112;0.604795;92.7328;1.11403;337.775;92.7328;-85.75
3;203;406;8;185;-0.048;-0.0168499;-0.730992;65.1123;-0.265241;362.975;65.1123;-133
0;343;687;0;1520;0.047;0.0837381;0.606347;74.1637;1.1112;312.575;74.1636;49
0;343;687;0;1544;0.063;0.0997381;0.812763;74.4637;1.32351;312.575;74.4636;49
0;420;841;8;50;0.002;0.0411386;0.024638;81.8312;0.512085;299.975;81.8312;237.25
0;420;841;8;52;0.003;0.0421386;0.036957;81.8562;0.524533;299.975;81.8562;237.25
0;421;843;6;196;-0.01;0.0271418;-0.12901;83.2531;0.362972;312.575;83.2531;252.25
0;421;843;6;205;-0.001;0.0361418;-0.012901;83.3656;0.483331;312.575;83.3656;252.25
0;422;845;6;325;-0.019;0.0161767;-0.256177;85.2635;0.223963;325.175;85.2635;263.5
0;422;845;7;346;0.005;0.0401767;0.067415;85.526;0.556239;325.175;85.526;255.5
0;423;847;7;467;0.012;0.0456482;0.16878;86.6328;0.669632;337.775;86.6328;266.25
0;423;847;7;471;0.015;0.0486482;0.210975;86.6828;0.71364;337.775;86.6828;266.25
0;424;849;7;601;-0.022;0.0106362;-0.322234;88.7206;0.159343;350.375;88.7206;277
0;424;849;7;642;0.007;0.0396362;0.102529;89.2331;0.593798;350.375;89.2331;277
0;425;851;6;771;0.019;0.0503028;0.289351;90.4373;0.794723;362.975;90.4373;289
1;425;851;6;1378;0.018;0.0493028;0.274122;90.4248;0.778924;362.975;90.4248;289
1;468;937;4;1576;-0.02;0.0188819;-0.24638;93.3062;0.237316;299.975;93.3062;-90.75
1;469;939;5;1837;0.006;0.0430321;0.077406;96.1656;0.572671;312.575;96.1656;-98.25
1;469;939;5;1850;0.015;0.0520321;0.193515;96.3281;0.692442;312.575;96.3281;-98.25
