column;detector;hcid;padrow;position;slope;uncal_dy;uncal_y;dy;x;y;z
3;12;24;7;691;-0.005;-0.061595;71.885;0.329878;299.975;71.885;-13.5
3;12;24;7;692;-0.004;-0.049276;71.8975;0.347429;299.975;71.8975;-13.5
0;13;27;7;1472;-0.022;-0.283822;73.5637;0.197491;312.575;73.5637;-13.5
0;15;31;7;1843;0.02;0.2813;78.2207;0.812731;337.775;78.2207;-13.5
0;15;31;7;1848;0.021;0.295365;78.2832;0.824921;337.775;78.2832;-13.5
0;16;33;7;1994;0.018;0.263646;80.5331;0.760817;350.375;80.5331;-13.5
0;30;61;0;486;-0.004;-0.049276;87.2812;-0.0953566;299.975;87.2812;297.25
0;30;61;0;513;0.013;0.160147;87.6187;2.20182;299.975;87.6187;297.25
2;39;79;9;818;0.024;0.33756;127.02;0.851862;337.775;127.02;111.25
3;39;79;9;1436;0.032;0.45008;127.145;0.978849;337.775;127.145;111.25
0;60;121;12;1751;-0.017;-0.209423;77.4937;0.262709;299.975;77.4937;207.25
0;61;123;11;1628;-0.019;-0.245119;75.5531;0.237323;312.575;75.5531;214.75
3;63;126;11;586;-0.043;-0.604795;70.1203;-0.142637;337.775;70.1203;232.25
3;67;134;12;336;0.018;0.232218;67.0031;0.732659;312.575;67.0031;83.25
3;67;134;13;139;-0.043;-0.554743;64.5406;-0.0748012;312.575;64.5406;75.75
2;69;138;12;356;-0.054;-0.75951;49.2453;-0.287045;337.775;49.2453;85.75
0;69;139;12;1961;0.022;0.30943;79.7078;0.815178;337.775;79.7078;85.75
1;70;140;12;102;-0.055;-0.805585;28.4831;-0.334776;350.375;28.4831;87
1;70;140;12;185;-0.041;-0.600527;29.5206;-0.122771;350.375;29.5206;87
2;71;143;11;105;0.007;0.106603;118.112;0.588936;362.975;118.112;97
2;71;143;11;281;0.016;0.243664;120.312;0.754064;362.975;120.312;97
2;94;189;9;443;0.056;0.820232;122.746;1.34929;350.375;122.746;259
3;95;191;8;2015;0.028;0.426412;134.387;0.92731;362.975;134.387;271
0;100;200;10;619;-0.036;-0.527292;16.9456;-0.0550729;350.375;16.9456;105
0;101;202;10;1759;-0.027;-0.411183;5.18732;0.0764175;362.975;5.18728;106
0;101;202;10;25;-0.031;-0.472099;9.11232;0.0137463;362.975;9.11228;106
0;101;202;10;37;-0.023;-0.350267;9.26232;0.139089;362.975;9.26228;106
3;187;374;2;728;0.044;0.567644;71.9031;1.08019;312.575;71.9031;158.25
0;189;379;2;490;0.059;0.829835;86.9203;1.34932;337.775;86.9203;170.75
1;198;396;8;1;-0.006;-0.073914;27.2187;0.418474;299.975;27.2187;-120.75
1;199;398;9;202;-0.011;-0.141911;29.3281;0.344645;312.575;29.3281;-128.25
1;200;400;9;368;-0.01;-0.13483;31.801;0.361074;325.175;31.801;-132.5
1;200;400;9;377;-0.003;-0.040449;31.9135;0.457726;325.175;31.9135;-132.5
1;201;402;9;583;0.002;0.02813;34.0828;0.521699;337.775;34.0828;-136.75
